driverId,predicted_position,start_position,position,grid
1,15,20,6,6
1,15,20,6,6
1,15,20,6,6
1,15,20,6,6
1,15,20,6,6
1,15,20,8,6
1,15,20,6,6
1,15,20,6,6
1,15,20,6,6
1,15,20,5,6
1,15,20,5,6
1,15,20,5,6
1,15,20,5,6
1,15,20,5,6
1,15,20,5,6
1,15,20,5,6
1,15,20,5,6
1,15,20,5,6
1,15,20,5,6
1,15,20,5,6
1,15,20,5,6
1,15,20,5,6
1,15,20,4,6
1,15,20,3,6
1,15,20,3,6
1,15,20,1,6
1,15,20,1,6
1,15,20,1,6
1,15,20,1,6
1,15,20,1,6
1,15,20,1,6
1,15,20,1,6
1,15,20,1,6
1,15,20,1,6
1,15,20,1,6
1,15,20,1,6
1,15,20,1,6
1,15,20,1,6
1,15,20,1,6
1,15,20,1,6
1,15,20,1,6
1,15,20,1,6
8,6,20,8,8
8,6,20,9,8
8,6,20,9,8
8,6,20,11,8
8,6,20,11,8
8,6,20,12,8
8,6,20,13,8
8,6,20,13,8
8,6,20,13,8
8,6,20,13,8
8,6,20,13,8
8,6,20,13,8
8,6,20,13,8
8,6,20,13,8
8,6,20,13,8
8,6,20,13,8
8,6,20,14,8
8,6,20,17,8
8,6,20,17,8
8,6,20,16,8
8,6,20,16,8
8,6,20,16,8
8,6,20,15,8
8,6,20,15,8
8,6,20,15,8
8,6,20,15,8
8,6,20,15,8
8,6,20,15,8
8,6,20,15,8
8,6,20,15,8
8,6,20,15,8
8,6,20,15,8
8,6,20,15,8
8,6,20,15,8
8,6,20,15,8
20,13,20,3,11
20,13,20,3,11
20,13,20,3,11
20,13,20,3,11
20,13,20,3,11
20,13,20,7,11
20,13,20,5,11
20,13,20,5,11
20,13,20,5,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,5,11
20,13,20,5,11
20,13,20,5,11
20,13,20,5,11
20,13,20,5,11
20,13,20,5,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,4,11
20,13,20,3,11
154,1,20,16,17
154,1,20,19,17
154,1,20,18,17
154,1,20,18,17
154,1,20,18,17
154,1,20,18,17
154,1,20,18,17
154,1,20,18,17
154,1,20,18,17
154,1,20,18,17
154,1,20,18,17
154,1,20,18,17
154,1,20,18,17
154,1,20,18,17
154,1,20,18,17
154,1,20,18,17
154,1,20,18,17
154,1,20,18,17
154,1,20,17,17
154,1,20,17,17
154,1,20,17,17
154,1,20,17,17
154,1,20,17,17
154,1,20,17,17
154,1,20,17,17
154,1,20,17,17
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,3,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,1,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
815,10,20,2,3
817,20,20,7,5
817,20,20,7,5
817,20,20,7,5
817,20,20,7,5
817,20,20,7,5
817,20,20,5,5
817,20,20,7,5
817,20,20,7,5
817,20,20,6,5
817,20,20,6,5
817,20,20,6,5
817,20,20,6,5
817,20,20,6,5
817,20,20,6,5
817,20,20,6,5
817,20,20,6,5
817,20,20,6,5
817,20,20,6,5
817,20,20,6,5
817,20,20,6,5
817,20,20,9,5
817,20,20,9,5
817,20,20,9,5
817,20,20,9,5
817,20,20,9,5
817,20,20,9,5
817,20,20,9,5
817,20,20,9,5
817,20,20,9,5
817,20,20,9,5
817,20,20,9,5
817,20,20,9,5
817,20,20,10,5
817,20,20,10,5
