driverId,predicted_position,start_position,position,grid
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,2,1
1,1,17,2,1
1,1,17,2,1
1,1,17,2,1
1,1,17,2,1
1,1,17,2,1
1,1,17,2,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
1,1,17,1,1
4,9,17,10,8
4,9,17,10,8
4,9,17,10,8
4,9,17,10,8
4,9,17,10,8
4,9,17,10,8
4,9,17,10,8
4,9,17,10,8
4,9,17,10,8
4,9,17,10,8
4,9,17,10,8
4,9,17,10,8
4,9,17,10,8
4,9,17,9,8
4,9,17,16,8
4,9,17,15,8
4,9,17,15,8
4,9,17,13,8
4,9,17,12,8
4,9,17,12,8
4,9,17,12,8
4,9,17,11,8
4,9,17,11,8
4,9,17,11,8
4,9,17,11,8
4,9,17,11,8
4,9,17,9,8
4,9,17,9,8
4,9,17,9,8
4,9,17,9,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
4,9,17,8,8
8,13,17,4,4
8,13,17,4,4
8,13,17,4,4
8,13,17,4,4
8,13,17,4,4
8,13,17,4,4
8,13,17,4,4
8,13,17,4,4
8,13,17,4,4
8,13,17,4,4
8,13,17,4,4
8,13,17,3,4
8,13,17,3,4
