driverId,predicted_position,start_position,position,grid
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
830,6,1,1,1
847,19,3,3,3
847,19,3,3,3
847,19,3,2,3
847,19,3,2,3
847,19,3,2,3
847,19,3,2,3
847,19,3,2,3
847,19,3,2,3
847,19,3,2,3
847,19,3,2,3
847,19,3,7,3
847,19,3,7,3
847,19,3,4,3
847,19,3,3,3
847,19,3,3,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,9,3
847,19,3,6,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,4,3
847,19,3,5,3
847,19,3,5,3
847,19,3,5,3
847,19,3,5,3
847,19,3,5,3
847,19,3,5,3
847,19,3,5,3
847,19,3,5,3
847,19,3,5,3
847,19,3,5,3
847,19,3,5,3
847,19,3,5,3
832,7,4,5,4
832,7,4,5,4
832,7,4,5,4
832,7,4,5,4
832,7,4,5,4
832,7,4,5,4
832,7,4,5,4
832,7,4,5,4
832,7,4,5,4
832,7,4,5,4
