Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year,EventName,SessionName,EventFormat,RoundNumber
0 days 00:00:39.678000,18.6,92.3,1011.5,True,22.2,311,1.0,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:01:39.692000,18.7,92.3,1011.4,False,22.4,319,0.7,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:02:39.704000,18.7,92.2,1011.3,True,22.4,353,0.9,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:03:39.719000,18.7,91.9,1011.3,True,22.4,257,0.6,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:04:39.732000,18.7,91.6,1011.2,False,22.5,333,0.9,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:05:39.746000,18.8,91.7,1011.2,False,22.6,229,0.8,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:06:39.759000,18.8,91.4,1011.2,False,22.7,348,1.2,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:07:39.774000,18.8,91.3,1011.2,False,22.8,210,1.0,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:08:39.787000,18.9,91.2,1011.0,False,23.0,0,0.6,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:09:39.801000,18.9,90.9,1010.9,False,23.1,28,0.6,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:10:39.816000,19.1,91.2,1010.9,False,23.4,199,0.3,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:11:39.831000,19.1,90.8,1010.8,False,23.5,352,0.7,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:12:39.844000,19.2,91.0,1010.7,True,23.9,252,0.4,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:13:39.858000,19.3,90.9,1010.6,False,24.3,0,0.7,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:14:39.873000,19.4,90.4,1010.6,True,24.4,0,0.4,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:15:39.885000,19.4,90.0,1010.5,True,24.4,259,0.4,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:16:39.901000,19.5,90.3,1010.5,False,24.4,92,0.8,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:17:39.913000,19.5,89.5,1010.5,False,24.4,150,0.6,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:18:39.927000,19.6,89.2,1010.4,False,24.3,229,0.5,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:19:39.942000,19.6,88.9,1010.5,True,24.3,149,0.4,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:20:39.955000,19.7,88.9,1010.4,True,24.3,0,0.7,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:21:40.088000,19.8,89.2,1010.4,False,24.5,286,0.8,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:22:40.445000,19.8,88.2,1010.5,True,24.4,255,0.5,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:23:40.364000,19.8,88.1,1010.4,True,24.4,0,1.0,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:24:40.220000,19.8,87.9,1010.3,False,24.5,306,0.5,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:25:40.026000,19.9,88.0,1010.4,True,24.5,307,0.6,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:26:40.040000,19.9,87.4,1010.2,True,24.8,314,0.8,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:27:40.054000,19.8,87.6,1010.1,True,24.6,0,0.7,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:28:40.067000,19.9,88.1,1010.1,True,24.5,335,1.0,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:29:40.080000,20.0,87.8,1010.1,True,24.5,146,0.5,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:30:40.097000,20.0,87.8,1010.0,False,24.5,188,1.3,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:31:40.112000,20.1,87.1,1010.0,False,24.8,207,0.6,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:32:40.122000,20.1,87.1,1010.0,False,24.8,192,0.8,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:33:40.137000,20.2,87.0,1010.0,False,24.8,325,1.0,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:34:40.152000,20.2,86.5,1009.9,False,24.7,206,0.6,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:35:40.165000,20.2,85.4,1010.0,False,24.8,197,1.3,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:36:40.180000,20.2,86.2,1010.0,False,24.9,289,0.8,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:37:40.191000,20.2,85.4,1010.0,False,24.8,216,0.7,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:38:40.204000,20.2,85.5,1010.0,False,25.0,0,0.7,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:39:40.218000,20.3,85.6,1010.0,False,25.3,187,0.4,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:40:40.232000,20.4,86.0,1010.0,False,25.4,0,0.4,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:41:40.244000,20.5,85.9,1009.9,False,25.3,179,0.4,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:42:40.257000,20.0,85.5,1009.9,False,25.1,0,0.5,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:43:40.271000,20.0,85.3,1010.0,False,25.2,351,0.8,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:44:40.281000,20.0,84.4,1009.9,False,25.3,264,1.1,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:45:40.294000,20.0,83.6,1009.9,False,25.0,0,0.9,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:46:40.309000,20.0,84.1,1009.9,False,25.0,0,0.5,2018,Australian Grand Prix,FP3,conventional,1
