circuitId,circuit_length,circuit_type_encoded,lat,lng,alt
1,5.278,1,-37.8497,144.968,10
3,5.412,0,26.0325,50.5106,7
4,4.675,0,41.57,2.26111,109
5,5.338,0,40.9517,29.405,130
6,3.337,1,43.7347,7.42056,7
7,4.361,2,45.5,-73.5228,13
9,5.891,0,52.0786,-1.01694,153
10,4.574,0,49.3278,8.56583,103
11,4.381,0,47.5789,19.2486,264
13,7.004,0,50.4372,5.97139,401
14,5.793,0,45.6156,9.28111,162
15,5.063,1,1.2914,103.864,18
17,5.451,0,31.3389,121.22,5
18,4.309,0,-23.7036,-46.6997,785
20,5.148,0,50.3356,6.9475,578
21,4.909,0,44.3439,11.7167,37
22,5.807,0,34.8431,136.541,45
24,5.281,0,24.4672,54.6031,3
32,4.304,0,19.4042,-99.0907,2227
34,5.842,0,43.2506,5.79167,432
39,4.259,0,52.3888,4.54092,6
69,5.513,0,30.1328,-97.6411,161
70,4.318,0,47.2197,14.7647,678
71,5.848,2,43.4057,39.9578,2
73,6.003,1,40.3725,49.8533,-7
75,4.653,0,37.227,-8.6267,108
76,5.245,0,43.9975,11.3719,255
77,6.175,1,21.6319,39.1044,15
78,5.38,0,25.49,51.4542,12
79,5.412,1,25.9581,-80.2389,0
80,6.201,1,36.1147,-115.173,642
